2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler |    Description: High renewable energy (solar/wind)
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler |    Carbon Intensity: 50.0 gCO2/kWh
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Generating carbon-aware recommendation for carbon_intensity = 50.0 gCO2/kWh
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Loading Pareto-optimal solutions from: C:\Users\HP\ACMGS\data\simulated\pareto_solutions.csv
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Loaded 100 Pareto-optimal manufacturing configurations
2026-03-09 15:14:14 | DEBUG    | carbon_scheduler.scheduler | Carbon intensity 50.0 gCO2/kWh classified as LOW zone
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | LOW carbon zone → Selecting high-performance configuration (full production mode, score=1.21)
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Recommendation complete:
   Zone: LOW
   Carbon Intensity: 50.0 gCO2/kWh
   Predicted Yield: 0.84
   Predicted Quality: 0.38
   Predicted Energy: 500.21 kWh
   Predicted Carbon: 0.00 kgCO2
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | 
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | TEST CASE 2/3: Moderate Grid (MEDIUM carbon)
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler |    Description: Mixed natural gas and renewables
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler |    Carbon Intensity: 250.0 gCO2/kWh
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Generating carbon-aware recommendation for carbon_intensity = 250.0 gCO2/kWh
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Loading Pareto-optimal solutions from: C:\Users\HP\ACMGS\data\simulated\pareto_solutions.csv
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Loaded 100 Pareto-optimal manufacturing configurations
2026-03-09 15:14:14 | DEBUG    | carbon_scheduler.scheduler | Carbon intensity 250.0 gCO2/kWh classified as MEDIUM zone
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | MEDIUM carbon zone → Selecting balanced configuration (efficiency mode, score=-498.87)
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Recommendation complete:
   Zone: MEDIUM
   Carbon Intensity: 250.0 gCO2/kWh
   Predicted Yield: 0.84
   Predicted Quality: 0.37
   Predicted Energy: 500.07 kWh
   Predicted Carbon: 0.00 kgCO2
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | 
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | TEST CASE 3/3: Dirty Grid (HIGH carbon)
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler |    Description: Coal-dominated or peak demand
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler |    Carbon Intensity: 500.0 gCO2/kWh
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Generating carbon-aware recommendation for carbon_intensity = 500.0 gCO2/kWh
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Loading Pareto-optimal solutions from: C:\Users\HP\ACMGS\data\simulated\pareto_solutions.csv
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Loaded 100 Pareto-optimal manufacturing configurations
2026-03-09 15:14:14 | DEBUG    | carbon_scheduler.scheduler | Carbon intensity 500.0 gCO2/kWh classified as HIGH zone
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | HIGH carbon zone → Selecting energy-saving configuration (conservation mode, score=500.07)
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | Recommendation complete:
   Zone: HIGH
   Carbon Intensity: 500.0 gCO2/kWh
   Predicted Yield: 0.84
   Predicted Quality: 0.37
   Predicted Energy: 500.07 kWh
   Predicted Carbon: 0.00 kgCO2
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | 
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | SAVING RECOMMENDATIONS TO CSV
2026-03-09 15:14:14 | INFO     | carbon_scheduler.scheduler | ================================================================================
